event_id,date,start_time,end_time,type,location,animal_location,initiator,victim,winner,loser,intervenor,observer,other_notes,datetime_start,datetime_end,duration,ts_start,ts_end,group_id_initiator,group_id_victim,group_id_winner,group_id_loser,group_id_intervenor,event_A2A,event_B2B,event_A2B,event_B2A,event_ingroup,success,epoch,merge_day,food_epoch,relative_time,player_pair_set,pre_winner,pre_loser,pre_event_interval
58,2024-06-15,10:05:50.0,10:05:53.0,R,left,,rat004,rat010,rat010,rat004,,,,2024-06-15 10:05:50,2024-06-15 10:05:53,3.0,1718460350000000000,1718460353000000000,A,A,A,A,,True,,,,True,False,,-4,3.0,237.0,"[""rat010"", ""rat004""]",,,
59,2024-06-15,10:05:53.0,10:06:19.0,FM,left,,rat004,,,,,,NL,2024-06-15 10:05:53,2024-06-15 10:06:19,26.0,1718460353000000000,1718460379000000000,A,,,,,,,,,,,,-4,3.0,263.0,"[NaN, ""rat004""]",,,21.0
60,2024-06-15,10:06:19.0,10:06:59.0,FM,left,,rat004,,,,,,NL,2024-06-15 10:06:19,2024-06-15 10:06:59,40.0,1718460379000000000,1718460419000000000,A,,,,,,,,,,,,-4,3.0,303.0,"[NaN, ""rat004""]",,,47.0
61,2024-06-15,10:07:05.0,10:07:40.0,FM,left,,rat004,,,,,,SL,2024-06-15 10:07:05,2024-06-15 10:07:40,35.0,1718460425000000000,1718460460000000000,A,,,,,,,,,,,,-4,3.0,344.0,"[NaN, ""rat004""]",,,72.0
62,2024-06-15,10:07:44.0,10:08:05.0,FM,left,,rat004,,,,,,NL,2024-06-15 10:07:44,2024-06-15 10:08:05,21.0,1718460464000000000,1718460485000000000,A,,,,,,,,,,,,-4,3.0,369.0,"[NaN, ""rat004""]",,,85.0
63,2024-06-15,10:08:05.0,10:08:19.0,FM,left,,rat004,,,,,,NL,2024-06-15 10:08:05,2024-06-15 10:08:19,14.0,1718460485000000000,1718460499000000000,A,,,,,,,,,,,,-4,3.0,383.0,"[NaN, ""rat004""]",,,60.0
64,2024-06-15,10:08:19.0,10:10:00.0,FM,left,,rat004,,,,,,NL,2024-06-15 10:08:19,2024-06-15 10:10:00,101.0,1718460499000000000,1718460600000000000,A,,,,,,,,,,,,-4,3.0,484.0,"[NaN, ""rat004""]",,,35.0
65,2024-06-15,10:09:52.0,10:10:04.0,FM,left,,rat005,,,,,,,2024-06-15 10:09:52,2024-06-15 10:10:04,12.0,1718460592000000000,1718460604000000000,A,,,,,,,,,,,,-4,3.0,488.0,"[NaN, ""rat005""]",,,143161.0
66,2024-06-15,10:10:44.0,10:10:50.0,FM,left,,rat007,,,,,,put food down duringwalking,2024-06-15 10:10:44,2024-06-15 10:10:50,6.0,1718460644000000000,1718460650000000000,A,,,,,,,,,,,,-4,3.0,534.0,"[NaN, ""rat007""]",,,143914.0
67,2024-06-15,10:10:52.0,10:11:07.0,FM,left,,rat006,,,,,,,2024-06-15 10:10:52,2024-06-15 10:11:07,15.0,1718460652000000000,1718460667000000000,A,,,,,,,,,,,,-4,3.0,551.0,"[NaN, ""rat006""]",,,143488.0
68,2024-06-15,10:11:17.0,10:11:29.0,R,left,,rat006,rat007,rat007,rat006,,,,2024-06-15 10:11:17,2024-06-15 10:11:29,12.0,1718460677000000000,1718460689000000000,A,A,A,A,,True,,,,True,False,,-4,3.0,573.0,"[""rat007"", ""rat006""]",rat007,rat006,143187.0
82,2024-06-15,10:11:23.0,10:11:32.0,R,right,,rat031,rat030,rat030,rat031,,,,2024-06-15 10:11:23,2024-06-15 10:11:32,9.0,1718460683000000000,1718460692000000000,B,B,B,B,,,True,,,True,False,,-4,4.0,458.0,"[""rat030"", ""rat031""]",rat030,rat031,0.0
69,2024-06-15,10:11:25.0,10:11:35.0,R,left,,rat010,rat003,rat003,rat010,,,,2024-06-15 10:11:25,2024-06-15 10:11:35,10.0,1718460685000000000,1718460695000000000,A,A,A,A,,True,,,,True,False,,-4,3.0,579.0,"[""rat010"", ""rat003""]",,,
70,2024-06-15,10:11:36.0,10:12:03.0,FM,left,,rat006,,,,,,,2024-06-15 10:11:36,2024-06-15 10:12:03,27.0,1718460696000000000,1718460723000000000,A,,,,,,,,,,,,-4,3.0,607.0,"[NaN, ""rat006""]",,,44.0
83,2024-06-15,10:11:56.0,10:12:38.0,FM,right,,rat035,,,,,,,2024-06-15 10:11:56,2024-06-15 10:12:38,42.0,1718460716000000000,1718460758000000000,B,,,,,,,,,,,,-4,4.0,524.0,"[NaN, ""rat035""]",,,-165.0
84,2024-06-15,10:12:04.0,10:12:22.0,R,right,,rat031,rat033,rat033,rat031,,,,2024-06-15 10:12:04,2024-06-15 10:12:22,18.0,1718460724000000000,1718460742000000000,B,B,B,B,,,True,,,True,False,,-4,4.0,508.0,"[""rat031"", ""rat033""]",rat033,rat031,-106.0
85,2024-06-15,10:12:22.0,10:12:27.0,R,right,,rat031,rat033,rat033,rat031,,,,2024-06-15 10:12:22,2024-06-15 10:12:27,5.0,1718460742000000000,1718460747000000000,B,B,B,B,,,True,,,True,False,,-4,4.0,513.0,"[""rat031"", ""rat033""]",rat033,rat031,-88.0
86,2024-06-15,10:12:38.0,10:13:01.0,FM,right,,rat035,,,,,,SL,2024-06-15 10:12:38,2024-06-15 10:13:01,23.0,1718460758000000000,1718460781000000000,B,,,,,,,,,,,,-4,4.0,547.0,"[NaN, ""rat035""]",,,-123.0
87,2024-06-15,10:12:52.0,10:13:03.0,R,right,,rat033,rat034,rat033,rat034,,,,2024-06-15 10:12:52,2024-06-15 10:13:03,11.0,1718460772000000000,1718460783000000000,B,B,B,B,,,True,,,True,True,,-4,4.0,549.0,"[""rat033"", ""rat034""]",rat033,rat034,0.0
88,2024-06-15,10:13:37.0,10:13:45.0,FM,right,,rat031,,,,,,eat for a while and put down,2024-06-15 10:13:37,2024-06-15 10:13:45,8.0,1718460817000000000,1718460825000000000,B,,,,,,,,,,,,-4,4.0,591.0,"[NaN, ""rat031""]",,,0.0
89,2024-06-15,10:13:50.0,10:13:52.0,R,right,,rat031,rat033,rat033,rat031,,,,2024-06-15 10:13:50,2024-06-15 10:13:52,2.0,1718460830000000000,1718460832000000000,B,B,B,B,,,True,,,True,False,,-4,4.0,598.0,"[""rat031"", ""rat033""]",rat033,rat031,0.0
90,2024-06-15,10:14:05.0,10:14:25.0,FM,right,,rat035,,,,,,,2024-06-15 10:14:05,2024-06-15 10:14:25,20.0,1718460845000000000,1718460865000000000,B,,,,,,,,,,,,-4,4.0,631.0,"[NaN, ""rat035""]",,,-36.0
91,2024-06-15,10:14:41.0,10:14:53.0,FM,right,,rat035,,,,,,,2024-06-15 10:14:41,2024-06-15 10:14:53,12.0,1718460881000000000,1718460893000000000,B,,,,,,,,,,,,-4,4.0,659.0,"[NaN, ""rat035""]",,,0.0
71,2024-06-15,10:15:34.0,10:15:45.0,R,left,,rat004,rat010,rat010,rat004,,,,2024-06-15 10:15:34,2024-06-15 10:15:45,11.0,1718460934000000000,1718460945000000000,A,A,A,A,,True,,,,True,False,,-4,3.0,829.0,"[""rat010"", ""rat004""]",rat010,rat004,584.0
72,2024-06-15,10:16:10.0,10:16:35.0,FM,left,,rat005,,,,,,"escape from robing, put down food before eaten",2024-06-15 10:16:10,2024-06-15 10:16:35,25.0,1718460970000000000,1718460995000000000,A,,,,,,,,,,,,-4,3.0,879.0,"[NaN, ""rat005""]",,,378.0
73,2024-06-15,10:18:45.0,10:18:54.0,R,left,,rat005,rat003,rat003,rat005,,,,2024-06-15 10:18:45,2024-06-15 10:18:54,9.0,1718461125000000000,1718461134000000000,A,A,A,A,,True,,,,True,False,,-4,3.0,1018.0,"[""rat005"", ""rat003""]",,,
74,2024-06-15,10:19:02.0,10:19:08.0,R,left,,rat006,rat003,rat003,rat006,,,continuous chasing,2024-06-15 10:19:02,2024-06-15 10:19:08,6.0,1718461142000000000,1718461148000000000,A,A,A,A,,True,,,,True,False,,-4,3.0,1032.0,"[""rat006"", ""rat003""]",,,
75,2024-06-15,10:19:13.0,10:19:16.0,R,left,,rat007,rat003,rat003,rat007,,,,2024-06-15 10:19:13,2024-06-15 10:19:16,3.0,1718461153000000000,1718461156000000000,A,A,A,A,,True,,,,True,False,,-4,3.0,1040.0,"[""rat007"", ""rat003""]",,,
76,2024-06-15,10:19:19.0,10:19:22.0,R,left,,rat006,rat003,rat003,rat006,,,,2024-06-15 10:19:19,2024-06-15 10:19:22,3.0,1718461159000000000,1718461162000000000,A,A,A,A,,True,,,,True,False,,-4,3.0,1046.0,"[""rat006"", ""rat003""]",,,
77,2024-06-15,10:19:27.0,10:19:30.0,R,left,,rat006,rat007,rat007,rat006,,,,2024-06-15 10:19:27,2024-06-15 10:19:30,3.0,1718461167000000000,1718461170000000000,A,A,A,A,,True,,,,True,False,,-4,3.0,1054.0,"[""rat007"", ""rat006""]",rat007,rat006,490.0
78,2024-06-15,10:22:35.0,10:22:44.0,R,left,,rat003,rat004,rat004,rat003,,,continuous chasing,2024-06-15 10:22:35,2024-06-15 10:22:44,9.0,1718461355000000000,1718461364000000000,A,A,A,A,,True,,,,True,False,,-4,3.0,1248.0,"[""rat004"", ""rat003""]",rat003,rat004,1047.0
92,2024-06-15,10:23:28.0,10:23:31.0,R,right,,rat030,rat031,rat031,rat030,,,,2024-06-15 10:23:28,2024-06-15 10:23:31,3.0,1718461408000000000,1718461411000000000,B,B,B,B,,,True,,,True,False,,-4,4.0,1177.0,"[""rat030"", ""rat031""]",rat031,rat030,0.0
93,2024-06-15,10:23:31.0,10:23:33.0,R,right,,rat030,rat035,rat035,rat030,,,,2024-06-15 10:23:31,2024-06-15 10:23:33,2.0,1718461411000000000,1718461413000000000,B,B,B,B,,,True,,,True,False,,-4,4.0,1179.0,"[""rat030"", ""rat035""]",rat035,rat030,0.0
79,2024-06-15,10:24:28.0,10:24:55.0,R,left,,rat004,rat003,rat003,rat004,,,,2024-06-15 10:24:28,2024-06-15 10:24:55,27.0,1718461468000000000,1718461495000000000,A,A,A,A,,True,,,,True,False,,-4,3.0,1379.0,"[""rat003"", ""rat004""]",rat003,rat004,1160.0
