clip,timestamp,rat003_center_x,rat003_center_y,rat004_center_x,rat004_center_y,rat005_center_x,rat005_center_y,rat006_center_x,rat006_center_y,rat007_center_x,rat007_center_y,rat010_center_x,rat010_center_y,rat030_center_x,rat030_center_y,rat031_center_x,rat031_center_y,rat032_center_x,rat032_center_y,rat033_center_x,rat033_center_y,rat034_center_x,rat034_center_y,rat035_center_x,rat035_center_y
C1,1718890986067241624,1950,447,1862,486,1526,943,1970,935,1914,810,1385,927,369,763,271,309,576,418,129,213,1137,158,482,147
C1,1718890986167241480,1950,447,1860,483,1539,940,1967,936,1914,810,1397,914,371,761,270,308,608,418,130,214,1135,160,481,159
C1,1718890986267241456,1950,447,1864,482,1560,943,1953,938,1914,811,1403,908,377,761,267,304,640,417,131,211,1137,160,485,174
C1,1718890986367241392,1950,447,1870,483,1569,947,1942,941,1915,810,1415,890,382,766,269,306,662,416,133,214,1135,161,485,189
C1,1718890986467241344,1950,447,1878,484,1574,950,1910,940,1915,810,1417,885,394,777,268,305,668,414,128,209,1136,161,490,205
C1,1718890986567241240,1949,447,1897,483,1575,949,1882,939,1915,810,1415,886,405,786,266,304,690,415,137,171,1137,160,490,202
C1,1718890986667241224,1948,446,1914,484,1592,950,1869,942,1915,810,1419,886,411,785,263,301,706,415,139,159,1136,158,491,205
C1,1718890986767241192,1947,446,1922,486,1630,952,1864,944,1914,809,1447,879,414,792,261,299,729,413,134,154,1136,155,492,211
C1,1718890986867241152,1945,447,1928,488,1662,952,1853,941,1916,807,1458,874,419,796,264,303,762,410,133,146,1142,154,496,220
C1,1718890986967241088,1946,447,1933,489,1694,952,1843,935,1915,808,1472,862,421,797,263,303,780,409,130,146,1145,155,495,227
C1,1718890987067240944,1947,445,1960,497,1715,954,1838,929,1913,811,1474,859,423,803,261,299,793,410,133,146,1146,154,490,234
C1,1718890987167240928,1947,445,1980,507,1736,958,1832,922,1912,811,1479,857,420,806,260,296,804,410,136,145,1146,153,485,230
C1,1718890987267240832,1947,446,1993,513,1755,960,1824,911,1909,815,1478,856,422,805,261,292,815,409,136,145,1143,153,487,223
C1,1718890987367240704,1949,447,1994,513,1779,965,1816,898,1905,819,1481,854,419,800,259,290,824,407,136,145,1137,154,486,219
C1,1718890987467240752,1949,447,2002,514,1788,964,1810,900,1904,826,1483,850,419,792,259,289,834,406,136,144,1144,151,483,219
C1,1718890987567240672,1949,447,2005,513,1802,964,1810,894,1901,834,1485,848,418,781,257,287,853,407,136,142,1144,151,480,217
C1,1718890987667240520,1949,447,2009,511,1817,969,1809,896,1892,835,1486,847,420,765,256,286,865,409,136,143,1136,153,478,218
C1,1718890987767240448,1949,447,2010,510,1836,969,1810,895,1895,832,1489,846,417,762,255,286,875,406,137,143,1136,153,475,218
C1,1718890987867240432,1949,447,2014,508,1859,963,1809,896,1895,831,1492,846,421,740,255,287,884,404,137,144,1136,153,474,219
C1,1718890987967240408,1949,447,2012,507,1879,957,1809,899,1894,830,1495,846,424,725,255,286,890,402,138,139,1138,154,472,219
C1,1718890988067240272,1948,447,2011,506,1878,957,1809,897,1894,834,1515,840,423,715,253,285,892,402,137,140,1141,151,465,220
C1,1718890988167240208,1944,445,2012,506,1882,957,1810,893,1890,834,1521,837,426,703,252,284,892,405,137,138,1142,150,458,222
C1,1718890988267240136,1951,445,2009,506,1887,956,1808,896,1873,833,1523,833,429,687,253,285,892,408,136,138,1143,151,452,226
C1,1718890988367240048,1952,443,2010,507,1898,954,1809,903,1820,827,1535,827,430,678,256,286,894,409,130,130,1143,151,449,232
C1,1718890988467240024,1953,441,2011,507,1916,952,1810,901,1772,812,1549,822,424,678,233,270,894,409,127,120,1141,152,446,238
C1,1718890988567239888,1950,440,2006,506,1924,953,1810,899,1754,806,1562,816,420,675,229,267,895,409,128,111,1140,149,439,242
C1,1718890988667239864,1954,439,2005,505,1936,952,1809,899,1746,806,1567,816,418,674,222,264,895,411,127,108,1137,149,430,242
C1,1718890988767239824,1953,439,2003,504,1948,951,1807,890,1742,808,1579,809,420,673,219,261,896,411,127,109,1136,150,427,246
C1,1718890988867239752,1954,438,1998,505,1960,952,1805,866,1738,811,1588,807,422,672,218,262,897,411,127,109,1130,150,424,253
C1,1718890988967239704,1961,431,1995,507,1970,951,1805,848,1735,813,1597,802,424,658,218,263,897,411,126,109,1126,146,421,260
C1,1718890989067239616,1984,417,1995,507,1981,951,1801,828,1725,821,1602,793,430,642,217,263,897,412,126,111,1129,146,417,263
C1,1718890989167239528,1995,408,1998,506,1991,952,1797,814,1705,834,1604,785,438,635,216,263,896,412,127,109,1131,144,413,262
C1,1718890989267239424,2003,402,2005,505,2004,949,1775,769,1688,838,1609,775,450,615,216,263,897,412,126,102,1132,146,410,260
C1,1718890989367239408,2004,400,2002,505,2021,947,1759,733,1682,841,1612,772,458,600,215,263,897,412,119,96,1134,146,403,261
